p,r
0.8730699999999999,1
0.7533511999999991,2
0.6390219999999991,3
0.5307800000000008,4
0.43125240000000004,5
0.3561876000000007,6
0.30903680000000017,7
0.27587319999999976,8
0.25238680000000013,9
0.23686599999999966,10
0.22994759999999953,11
0.23495479999999974,12
0.24701519999999996,13
0.2637752,14
0.28194679999999994,15
0.2996135999999995,16
0.31491519999999995,17
0.3266380000000004,18
0.33519640000000006,19
0.3400203999999998,20
0.34101400000000026,21
0.3408980000000005,22
0.33970200000000017,23
0.3386516000000001,24
0.33839839999999977,25
