time,value1,value2
0,0.2512805293267857,0.16502314655142855
1,0.22872562692763013,0.16698824668357182
2,0.213465051053319,0.16850420590834436
3,0.2034110200509173,0.17052117843697304
4,0.19706183930410032,0.1731052886398449
5,0.19334296239494714,0.17605104343330097
6,0.19148528866634196,0.17911753139747028
7,0.1909365098730155,0.18210858603285868
8,0.191297933938884,0.18489017245377679
9,0.19227998183683365,0.18738448950929187
10,0.19367100343601185,0.18955728562766508
11,0.19531543562692172,0.19140496168947613
12,0.1970984506929256,0.19294375068294034
13,0.19893509590667127,0.194201459346253
14,0.20076254322170495,0.19521155223496547
15,0.20253450211610177,0.19600913759831143
16,0.20421714782391712,0.19662839744912966
17,0.20578612097733143,0.1971010641023145
18,0.2072242927568859,0.19745562562033103
19,0.20852008315499246,0.19771701934214503
20,0.2096661834924845,0.1979066375177923
21,0.21065857776205466,0.19804252037426212
22,0.21149578730815646,0.1981396508580878
23,0.21217828418179993,0.19821029392946451
24,0.21270803314997946,0.19826434381155422
25,0.2130881327400079,0.19830965697419672
26,0.21332253316476324,0.19835235845520252
27,0.21341581438893556,0.19839711565260168
28,0.213373011561626,0.19844737791501899
29,0.21319947797276254,0.1985055828264003
30,0.21290077787930756,0.19857333154443385
31,0.21248260319585457,0.19865153628086904
32,0.21195070929761436,0.19874054326832413
33,0.21131086614559624,0.1988402345232947
34,0.21056882168879704,0.1989501115119166
35,0.209730275080792,0.19906936353519997
36,0.20880085770806076,0.199196923326512
37,0.2077861203939579,0.19933151202862318
38,0.20669152543713423,0.19947167540966448
39,0.2055224423825813,0.1996158128969156
40,0.2042841466194163,0.19976220075869355
41,0.20298182006118456,0.19990901054838311
42,0.20162055329878248,0.2000543237393538
43,0.20020534872842102,0.20019614332251776
44,0.19874112425147736,0.2003324030064616
45,0.19723271722283103,0.20046097455018064
46,0.19568488839188175,0.20057967366732557
47,0.1941023256379018,0.20068626486565563
48,0.19248964735029722,0.20077846552350176
49,0.19085140534603132,0.2008539494542255
50,0.189192087251953,0.20091035016797162
51,0.18751611830992793,0.2009452640058053
52,0.18582786258819597,0.20095625329320452
53,0.18413162360384794,0.20094084963667994
54,0.1824316443792083,0.20089655746804597
55,0.18073210696961978,0.2008208579247622
56,0.1790371315119803,0.20071121314113688
57,0.17735077485265877,0.20056507101348184
58,0.17567702882034675,0.20037987049207617
59,0.17401981821419246,0.20015304744365756
60,0.17238299858038747,0.19988204111980692
61,0.1707703538513997,0.19956430125876548
62,0.1691855939214169,0.19919729584071497
63,0.16763235222942807,0.19877851950918868
64,0.16611418341786716,0.1983055026639197
65,0.164634561130018,0.19777582122296383
66,0.16319687600357172,0.1971871070442668
67,0.16180443391099034,0.1965370589889116
68,0.16046045448981078,0.19582345460003664
69,0.1591680699978769,0.1950441623628297
70,0.15793032451987132,0.19419715450206657
71,0.15675017354258955,0.19328052026438633
72,0.15563048390731246,0.1922924796229029
73,0.15457403413854143,0.191231397331888
74,0.15358351513941076,0.19009579724918804
75,0.1526615312354199,0.18888437683383613
76,0.1518106015398623,0.18759602171608766
77,0.1510331616065812,0.18622982022696613
78,0.1503315653285529,0.18478507776448497
79,0.14970808703436944,0.18326133086417085
80,0.14916492372902304,0.1816583608325251
81,0.14870419742053584,0.17997620679381288
82,0.14832795746994534,0.1782151779932732
83,0.1480381828989617,0.1763758651937197
84,0.1478367845872335,0.1744591509977891
85,0.14772560728956516,0.172466218925041
86,0.14770643140256232,0.17039856107197757
87,0.14778097440997554,0.16825798418409668
88,0.14795089193637498,0.16604661397258055
89,0.14821777833962463,0.16376689751441292
90,0.1485831667738174,0.16142160358385313
91,0.1490485286557643,0.15901382077549886
92,0.14961527246967646,0.15654695329483237
93,0.15028474184620688,0.15402471431131134
94,0.1510582128534105,0.15145111679182913
95,0.15193689043831352,0.1488304617587462
96,0.15292190395855532,0.1461673239466218
97,0.15401430174389255,0.1434665348650865
98,0.1552150446271737,0.14073316331171257
99,0.1565249983836788,0.1379724934178573
100,0.15794492501648275,0.13519000035173534
101,0.15947547282380106,0.13239132384573887
102,0.16111716518222816,0.12958223975845248
